role,n,time
P,26,1017259
P,31,898337
P,23846,1165120
P,5,1253558
P,15,1110830
P,55,837335
P,1,612216
P,87710,624133
C,4,69434
C,86631,246204
P,94632,75796750
C,28109,445257
P,71,75951610
C,17,602243
P,35628,76087319
C,1249,1005128
P,31855,76512992
C,13297,1121782
P,93,76629901
C,17,1568480
C,6824,1672226
C,20,1696829
C,42,2070888
C,98,2234572
C,28012,2322500
P,87457,78357235
C,20,2571119
C,57,2697841
C,35,3019143
C,54655,3487756
P,34630,79795143
C,6,3670644
P,87,79975620
C,6,3935351
P,71,80283464
C,36,4177430
P,4,80683518
C,82,4723798
P,93,81079932
C,58023,4786056
P,63,81292553
C,61,5150621
P,4,81890442
C,12,5554541
C,29,5479049
P,20,82010096
P,35,82289081
C,66436,5782955
P,66,82456274
P,9,82752228
P,9,82930996
P,4876,82923220
C,56902,6575231
P,59,83155732
P,19,83483931
P,38,83723100
P,90,84029061
P,55,84213379
P,31283,84478872
C,5988,8410295
P,93,84726786
C,77,14523096
P,90,90957048
C,66,14874970
P,57,91261838
C,77,15200877
P,23,91526903
C,94,15327092
P,91,91631041
P,85837,92051862
C,45292,15883068
C,100,16010534
P,86269,92180610
P,27,92260143
C,3,16150553
P,67,92505155
C,15524,16348304
P,79,92832520
C,44142,16540281
P,52,93012433
C,61162,16867781
P,86,93390621
C,34,17260108
P,69,93773786
P,39,93829684
P,27,94056226
P,54,94140799
P,64685,94360412
C,66818,18340007
P,94,94484160
C,69,18487847
P,38625,94639001
C,57068,18495937
P,8,95068680
C,67,18949337
P,71,95440913
P,51857,96195298
P,87536,96315718
C,74071,20483267
P,57,96451895
P,90059,96644953
C,96482,20661521
P,19,96899999
P,82,96982920
P,19,97155937
P,74,97242378
P,48,97537315
P,44,97692015
P,72833,97735759
C,97769,22725878
P,62,98566784
C,35,22994357
P,44,98831303
C,100,23253498
P,41,99243579
C,3,23604724
P,99838,99525788
C,93,23845953
P,11,99719753
C,33158,23958047
P,73,99996045
C,25,24147044
P,32888,100257615
C,16,24441036
P,57,100646812
C,96668,24730736
P,14133,100780519
C,9271,24780759
P,46776,100914657
P,94133,101119029
C,63578,24905511
C,30,25119861
P,48,101701588
C,82,25715002
P,1,102690723
C,88,26758038
P,38,103081101
C,82,27016445
P,57,103447320
C,47,27411891
P,82,104023573
C,62,27569871
P,66317,110263498
P,80,110254116
P,46,111107175
C,27064,34870798
P,8,111475208
C,22487,35030520
C,4,35249997
C,87,35256523
C,41,35316133
C,3,35702160
C,67667,35630248
P,63315,112904707
C,15681,35879600
P,48,113064131
C,66,36139867
P,96,113420244
C,19,36389456
P,48,113467493
C,81,36807327
P,8,113991160
P,60885,113968201
C,22461,36931767
C,33,37367828
P,91,114555158
C,31,37585288
P,50,114682675
C,96,37629082
C,51019,37643950
P,76542,114878007
C,48,37523288
P,20,115231645
C,46013,37934890
P,59,115434926
C,69,38044927
P,45416,115596555
C,68416,38179643
P,39,115734779
C,64494,38241115
P,37,116051655
C,81,38612340
P,11,116408172
P,61009,116539038
C,92440,39040315
P,91,116669966
P,64,116836715
P,88,117048183
P,53555,117198400
C,45929,39901616
P,50401,117318445
C,28357,39932749
P,22,117575762
C,53,40943601
P,59,118516633
C,63,41124795
P,55405,118962439
C,44,41716532
P,32,119305434
C,95,42499769
P,83,120421782
C,239,42873269
P,86663,120679165
C,40,43034613
P,90,120849108
C,44,43498579
C,80,43744465
C,88,44704256
C,75,45352139
C,51,45359335
C,24119,45004551
C,55,39647131
C,20736,39686021
C,42498,39760608
C,92,39829174
C,24763,39819070
P,95586,124520883
C,29,39900995
P,41,124648944
C,55435,40958077
P,37,125825719
C,58616,41107562
P,29,126076720
C,64,41243871
P,75,126136681
C,1818,41310919
P,51,126244640
C,31650,41411130
P,66321,126444850
C,5664,41556782
P,60311,126518744
C,89,41616733
P,48,126692440
C,82548,42222939
P,18,127228576
C,21,42220845
C,69,42350353
P,45,127731860
C,2524,42711237
P,56207,128250640
C,45,43070168
P,2,128687717
C,4,44120077
P,68030,129820370
C,11,44721440
P,14,130231578
C,83,44998794
P,82,130684519
C,3131,45338796
P,96,137482071
C,26,52184717
P,26,137594325
C,34,52374674
P,69,137972430
C,81,52658781
C,50,53036474
C,100,53129090
C,74,54331206
C,3,54383630
C,76390,54813286
P,67095,140726965
C,95,55187373
C,60,55050513
C,15,55098517
C,83,55168272
C,38,55307042
C,37,55431675
P,18454,141829109
C,35,55648952
C,5,55795094
P,26,142065311
P,31,142084342
C,55,56088972
C,13,56063424
C,71659,56141010
P,78,142629566
C,26316,56600950
P,52,143312500
C,61,57481025
P,50,143873075
C,71,57539111
P,58,144160379
C,18378,58091507
P,93,144622870
C,75308,58540536
P,20747,145087508
P,49,145034180
P,28,145077900
P,25,145160576
P,85,145508480
P,44,145573150
P,9,145584969
P,2,145611637
P,17,145661083
P,20939,146120877
P,96,146156496
P,27,146377642
P,92,146643199
P,66079,146657639
C,95748,61263807
P,90,147160413
C,46,62379205
P,64,147913820
P,73587,148107604
C,77265,62730039
P,27718,148557292
C,16236,62902209
P,57,149343115
C,3760,63658490
P,93,149465825
C,13,64040600
P,2,149798072
P,32188,149833823
P,73555,149827011
C,2,64205714
P,97,150310342
C,77,64539472
P,4961,150385132
C,51,65612750
P,12,151987302
C,61,66503609
P,9,152526796
C,77,66778360
P,55,154698957
C,11,68961117
P,72,155066028
C,78435,69253152
P,51883,156124844
C,52,70363290
P,19889,156447485
C,32,70701144
P,58,158109827
C,53,72492268
P,31,158845061
C,48,74094076
P,67051,161038552
C,3,75095641
P,4,161003355
C,62,75215670
P,13,161288091
C,40576,75618358
P,2,162632962
C,82,77399385
C,62,86604907
C,51854,86660054
P,44634,172745841
C,24297,86715778
P,34,172950685
C,59,86909943
P,34,173117326
C,82,87080018
C,60,87533138
C,34,87614976
C,58,87848098
C,99676,88112367
P,96760,174787405
C,17,88639799
P,69497,175453594
C,58,88699331
P,68,175511550
C,46,89027489
P,9,176219605
C,58788,89497026
P,61,176938012
C,33,90158512
P,8266,177058683
C,3,90243706
P,91,177842110
C,98734,91445838
P,73,178691676
C,555,91747120
P,72,179005628
C,56,92194695
P,23,179870666
C,96,92988254
P,17,180415794
C,10,93600439
P,54,181133290
C,89,94255556
P,42,181589535
C,17096,94832810
P,59,181895850
C,33,95066170
P,34,184561987
P,87679,184751828
C,87264,97956909
P,6,185240367
P,48,185426840
P,78,185744930
P,77,185804653
P,83,186152232
P,18,186359259
P,46293,186637053
C,38641,100241192
P,16,186882886
C,28,100467126
P,20,187095325
C,59,100682894
P,56509,187974964
C,7,101497273
P,63018,188031618
C,6583,101677195
P,40511,188445185
C,57,102144260
C,64,102649072
C,61,103394739
C,36,103430907
C,6,103823146
C,16713,104215250
C,25,104204569
C,39,104019670
C,56,104138509
C,61,104542299
C,90,104828128
C,52,105314854
C,21,105377454
C,19,105411630
C,95083,105701225
P,47091,194002680
C,2,105981202
P,68,194032124
C,99,106003908
P,90,194638268
C,60,106712241
P,66,194915106
C,18781,107297516
P,22,196664673
C,27,108500627
P,70,196826018
C,78,108700446
P,84,197408280
C,9,109275717
P,58975,197473851
C,47886,109471133
P,82,198605650
C,7929,110290116
P,98,198843187
C,30,110519777
P,5,199027673
C,12121,110590518
P,74,199065930
C,87056,110722308
P,55395,199266912
C,43,111081939
P,36,200176005
C,77,111676324
P,37,200336573
C,92,111801185
P,72,200453615
C,66,112551380
P,81,201426460
C,33729,112787759
P,78543,201879022
C,55,113252041
P,97,209742294
C,99,121142916
P,7,209958440
C,13,121402250
P,52467,210378212
C,79,121906368
C,47,121940508
C,42,121970385
C,50,122446147
C,4,123109914
C,74453,123019992
P,90035,212537220
C,88,123269947
P,87,212579688
C,1,123383666
P,12,212699649
P,36,212713607
C,78,123334340
C,2,123268564
C,45,123378743
C,44,123082983
C,79,122972265
C,66,123276765
C,38,123076960
C,82,123092287
C,42767,123060221
P,56663,213408977
C,88,123113543
C,69,123140484
P,16,213425569
C,1,123157340
P,57,213451644
P,8,213529295
C,59,123214038
P,68,213543475
C,95,123304971
C,41262,123165200
P,45921,213692775
P,68,213675906
C,63,123241465
C,12483,123230133
C,20051,123248865
P,24284,214059371
C,85,123455670
P,68,214124676
P,90,214051772
P,14,214038417
C,18,123340382
C,45,123378630
C,26,123377430
C,846,123372624
C,18254,123411327
C,19692,123320778
C,86,123415874
C,88,123360783
C,23,123361001
C,91,123288018
C,20,123183124
C,5411,117112864
C,10,117179624
C,89415,117015690
P,70293,215317825
C,49,117115418
P,64,215348738
C,74,117264895
P,19057,215530553
C,42,117463866
C,87,117449952
P,72,215594805
P,59,215629327
C,62,117470110
C,54,117568095
C,11,117651417
C,52,117541506
C,94,117603488
C,58,117600245
C,95097,117625067
P,96913,216435537
C,10181,117820165
P,46,216647432
C,71,117868043
P,55,216828176
C,89201,118030509
P,85,216904262
P,9432,217035234
C,24,118134946
C,74,118271058
C,34,118152223
C,73,118181924
P,55,216961041
P,63,217083093
C,42560,118202251
P,7,217165609
P,4371,217178813
P,2075,217277834
C,34282,118822235
P,71442,217287157
P,48,217265312
C,40029,118878369
P,86517,217300512
C,98,118969633
P,16,217179459
P,79,217257183
C,18,118871730
P,81,217249681
P,54,217207003
P,16,217376649
C,18,118855031
P,28752,217223165
C,86929,119023394
C,60,118937491
P,67,217504401
P,61,217449341
P,75330,217536315
C,97942,119585759
P,86,217647819
C,2,119681310
P,93,217664752
C,61,119679096
P,94,217701202
P,69993,217623209
P,53,217785992
C,98,119730898
C,36,119724019
C,22,130511125
P,29424,228579998
C,51,130620685
P,25822,228789021
P,45510,228394284
C,60704,130846677
C,69,130111177
C,55,119844095
P,65,217883600
P,19,229158291
C,28,130895546
C,95894,130893828
P,56,229227957
P,49,229063005
P,91975,229315543
C,83931,131044790
P,63826,229352238
C,86,131077395
P,62708,229358035
P,94,229342853
P,68,229319980
P,9,229397564
P,76,229304574
C,55,131237222
C,58,131199817
P,4,229431759
C,56,131253588
P,77,229413858
C,84,131261988
P,10,229447081
C,97,131295748
C,85,131135144
C,55,131142934
C,9531,131202213
C,88845,131017557
P,65722,229805695
C,59,131034665
P,29576,229814355
C,74177,131117020
P,28,229914685
C,65,131177921
P,42,230001326
P,95,229952717
P,73,229976900
P,90309,229967336
C,96191,131383745
P,42965,230022230
C,48434,131486926
P,96,230013224
C,35,131535811
P,8247,230114481
C,51,131649493
P,66974,230157762
P,33,230209283
P,59,230172276
C,42,131574638
P,75,230134162
C,26938,131652992
P,15165,230127775
C,70128,131637430
C,100,131593724
P,93090,230291601
C,84930,131702358
P,5747,230151078
P,25,230336193
P,54,230236192
P,24,230210195
P,49051,230259414
C,88616,132102674
P,13912,230234526
C,80,132150727
P,75515,230252149
C,64199,132265098
P,22,230282635
C,61,132140510
P,55382,230478580
C,70,132387393
C,12,132403743
P,75,230520564
C,47,132359381
P,35576,230548818
P,43,230602244
C,54,132466971
C,80929,132486003
P,80144,230754823
C,48408,132470488
C,90155,132537140
P,53764,230878738
P,91,230927365
C,71,132649028
P,3,231025682
C,40137,132589580
C,17307,138523981
P,43,237023168
P,72,236925026
C,65,138649198
P,10,237230184
C,59,138712276
P,27111,237195939
P,39,237252805
P,4,237292600
P,25,237288076
P,100,237436055
P,10831,237536328
P,36,237586003
P,48,237597524
P,94,237630739
P,61,237632475
P,93914,237648704
C,83617,139875527
C,16571,139741896
P,35,237675103
P,86,237767994
C,82,139801641
C,66,139769663
P,39181,237934321
C,58,139836464
P,72,238055565
P,37870,237919601
C,98,139914984
C,11,139899917
C,59675,139973241
P,81250,238529821
P,70,238484027
C,29671,140052479
P,30,238673605
C,58,140210991
C,2,140076026
P,90,238735017
C,69956,140248925
P,31,238885899
C,31,140378844
P,97,238857461
C,1,140471243
P,62,238837795
P,32,238872070
C,46,140589868
P,87,238951379
C,2,140701948
P,17561,239165287
C,7246,140824724
P,89,239166977
P,29,239147891
C,2917,140879123
P,83,239206891
C,2,140918211
P,41897,239174764
P,44,239321832
C,32,141164738
P,55051,239579241
C,56,141289487
C,89066,141363720
P,64263,239822476
P,19,239856997
C,55,141404368
C,35,141393985
P,73,240003070
C,96231,141567158
P,62234,240149846
C,54,141512617
P,93542,240157876
P,95,240111990
P,49,240163223
P,13397,240166243
P,4,240126366
C,22957,141605021
C,79754,141672981
P,85,240163157
P,54,240177147
C,95380,141635121
P,28,240236982
C,65,141660085
C,99,141666749
C,2,141668846
P,16456,240277254
P,72,240240261
C,65,141700799
P,8505,240150328
P,41,240326396
P,86419,246511336
C,83143,148264386
P,66,246628751
C,63,148310143
P,24,246661329
C,63,148395757
P,2,246668962
P,88,246590946
P,62,246651345
C,53,148398368
C,85,148410520
P,3802,246691736
P,80415,246783422
C,39188,148679902
P,30,246832144
C,50,148665735
P,81601,246728421
C,96633,148693760
P,47,246702131
C,89,148852641
P,28,246826354
P,75112,246786987
C,84645,149059086
C,64,149054167
P,1,246821752
C,32,149114503
C,31999,149162531
P,76,246937158
C,100,149118736
P,70,246752941
P,22,246911270
P,35376,246952044
C,28078,149369778
P,48,247062797
C,40,149388755
P,19124,247084525
C,64,149370713
P,74849,246814582
P,50317,246806801
C,25,149571115
P,75,246899486
C,97,149609982
P,61,246871904
P,79585,246835828
P,43,246749852
P,15,246885432
C,78091,149420107
C,98,149695055
P,13,246995167
C,21,149797661
C,48,149686847
P,90,246968983
C,6,149847056
P,46,247051593
C,38,149882703
P,43,247069874
C,78,149936885
P,33,247093313
C,52176,150020935
P,66004,247139675
C,48,149992502
C,33,150097124
C,72,150142635
C,63,150250670
C,50,150299357
C,63,150298614
C,29,150361455
C,12,150429820
C,46699,150485401
C,27026,150566976
P,80505,248480526
C,68,150627640
C,81,150648743
P,41,248578714
P,34,248519730
C,3,150730301
C,89,150666300
C,85,150494987
P,70,248756470
P,50,248754287
P,60,248739425
P,42,248696829
P,95,248769381
C,16629,150697307
C,47975,150589756
C,66,150755546
P,66149,248817286
C,75,150555616
C,48,150579826
C,6,150650985
C,33,150697387
C,24,150648230
C,91,150706934
C,36,150778415
C,15,150839492
C,8,150987265
C,48,150927666
C,28,151018099
C,99,151046055
C,84,151254848
C,46,151321216
C,45,151383626
C,62,151482437
C,38,151450575
C,93925,151401056
C,20664,151516735
P,68916,251333494
C,79,151503981
C,13,151590086
P,23,251344516
P,11,247458875
P,85,251325664
C,86,151637985
P,41966,247529584
P,33,247613025
C,17898,151783810
P,26,247456472
P,97,247373977
C,51,151635710
C,19,151908050
P,2,247322878
C,15453,151963745
P,89,247387941
P,48,247372678
P,95,247424753
P,37,247533104
P,97,247530909
C,89422,151996199
C,89,152178307
P,27,247573533
C,68,152207223
P,15,247705078
C,5031,152303760
C,43,152326100
P,79,247717258
P,82178,247827471
C,67,152440387
P,92,247775217
C,93263,152402225
P,9868,247816323
C,84,152341151
C,56,152314337
C,92,152429328
P,33,247794161
C,21,152446687
C,19440,152516570
P,22,247974810
P,92,247717311
P,5475,247902150
C,40100,152642705
P,20069,247976561
C,16201,152590009
P,30044,248068220
P,20279,247920555
P,33,247862176
C,78,152727795
P,25,248145454
C,94,152813000
P,32,248143198
P,79,248169458
C,51,152759624
C,49,152723011
C,64,152913433
P,25,248180010
P,44742,247998340
P,61,248279135
C,84,152996728
P,82,248301102
C,93,152857984
C,51,153081136
P,1,248356452
C,11,153162485
P,66,248352084
P,100,248347607
C,13,153217088
C,79,152858430
C,43,153325319
P,60,248185649
P,81,248375433
P,23576,248310579
P,43442,248311225
C,24936,153025488
C,51,153414830
C,95,153408518
C,85,153461564
C,77,153498661
C,61,153583686
C,36,153600650
C,63011,153700587
P,68681,249489398
C,27,153753789
P,57,249601390
C,93434,153785540
C,99,153858866
P,79,249610079
P,21,249712548
C,20,154029338
P,94677,249784638
C,73,154124220
P,52,249823805
P,77,249779949
P,77,249882076
P,66110,249827686
C,91296,154154781
C,90,154349375
P,30,249968201
C,22613,154477777
P,44,250083125
C,49381,154585312
C,32540,154525895
P,94,250139851
P,90,250220412
C,9148,154629406
C,33,154640450
P,86,250275795
C,96,154666838
P,4110,250532948
C,46,154726042
P,25433,250606729
C,17,154849170
P,65,250737910
C,24,154758076
P,46,250811604
C,30,154819220
P,13,250757560
P,59706,250943715
C,81435,155071744
P,37,251072413
P,38,250880290
C,6,155096264
C,89,155118891
P,7327,251003143
C,5,155299008
P,74634,251176535
C,3,155404990
P,71341,251224399
C,3,155445838
P,66,251271661
C,34805,155537936
C,23,155693451
C,66902,155628170
P,67433,251684377
P,44236,251651368
C,66,155698122
P,78,251717851
C,82,155689218
C,2861,155817367
P,25,251749239
P,19,251757045
C,25,155939113
P,1,251753802
C,59,156027814
C,20041,156129604
P,27488,252103746
C,90,156139346
C,72,156109893
P,16,252070091
P,98,252120951
C,29,156141621
C,51,156106621
C,41393,156204904
P,43,252144661
P,60,252305646
C,78,156301695
P,36,252346475
C,58,156221681
P,40000,252497186
C,4,156395858
P,79,252609909
C,81,156467490
C,9,156525465
C,73542,156543935
P,65468,252869888
C,59,156598979
P,13,253071774
C,29,156764760
P,8,253152086
C,82,156871720
C,91801,156998633
P,57473,253449188
C,8632,157097873
P,86,253475795
P,33,253473462
P,39,253507114
C,74,157305206
P,57332,253634720
C,44918,157364891
P,86,253698879
C,1424,157266203
P,14,253619862
C,54,151014065
P,20,253717227
C,37,151098655
P,14,253727716
C,67,151124092
P,33130,253730061
P,93,253749640
C,19,151300239
