role,n,time
P,5518,817663
P,875,980345
P,1243,907605
P,8298,862145
C,6114,69618
P,5572,74649318
C,3530,294326
P,5007,75148543
C,7292,458132
P,1771,75372122
C,7619,595685
P,1550,75399552
P,3428,75635789
P,5772,75923172
C,8791,1638632
P,3346,76287434
C,2364,1854007
C,2965,1958218
P,4208,76429009
P,4954,76666112
C,4867,2118986
P,3237,76636411
C,3542,2357971
P,7673,76943964
C,8453,2781491
P,4276,77253923
C,8056,3228876
P,6343,77779155
C,6640,3294390
P,5080,77866251
C,7691,3653431
P,7651,78230179
P,8972,78417623
C,7914,3986488
P,7077,78540598
C,8166,4270270
P,2613,79035776
C,7517,4672379
P,2920,79391778
C,1901,4803058
P,9477,79733806
C,5497,5480184
P,5479,80302921
C,1254,5690549
P,4279,80638232
C,1072,6086521
C,6818,6590935
P,5247,81732665
C,817,6961186
P,4685,82130707
C,1431,7498108
P,2760,82443398
C,3379,7564909
P,3912,88051243
C,2205,13311255
C,4264,13556522
P,5904,88678630
C,360,13790406
C,7825,13799698
P,5718,89045957
C,1602,14072885
P,4348,89340600
C,3520,14241546
P,203,89653525
C,9653,14625527
P,7077,89860103
C,7552,14556503
P,4744,89915927
C,4784,14722820
P,1821,90149747
C,5436,15014896
P,6765,90517921
C,202,15313153
P,3167,90624750
C,1044,15480254
P,4272,90897075
C,8304,15735310
P,3739,91415365
C,5269,16210770
P,6666,92051701
C,6649,17153866
P,5641,92774830
C,2459,17348346
C,4832,17472016
P,4779,92779457
P,8715,92995146
C,5278,17770753
P,2169,93179232
C,2210,17986802
P,780,93667803
C,962,18347843
C,561,18469937
C,9711,18546987
P,9003,94127823
C,4660,18628756
P,7949,94356526
C,8842,18877424
P,1489,94540119
C,5611,18931013
P,231,94686050
P,3037,94970196
C,1871,19463858
P,642,95364662
P,9781,95398781
C,5092,20041460
P,6166,95558879
C,1921,20066151
P,6026,95601200
C,2808,20420147
C,5456,20696164
P,6890,96757437
C,4519,21411768
P,1175,97460258
C,6786,21595368
P,1477,97577819
C,15,21774262
P,3840,97826005
C,8388,22089574
P,3992,98102378
P,7679,98170186
C,7302,22737966
P,2992,98658236
C,2103,23338042
P,2041,99271565
C,4923,23441602
C,5021,23707990
P,2794,99392390
P,7794,99964686
C,4940,24386092
P,2636,100392535
C,3655,24873740
P,9743,101053159
C,445,25044130
P,3615,101194804
C,4140,25357404
C,4325,25311532
P,7268,101584783
C,5655,25515153
P,4944,101962066
C,9519,25930997
P,7894,102245566
C,1739,26171582
C,828,26336746
C,1672,26601269
P,9481,103359241
C,9652,26938835
P,338,103656789
C,2749,27495472
P,9589,104093735
C,421,27587744
P,1115,104574880
C,1527,27903125
C,3578,34931511
P,2238,111760239
P,2907,110357505
C,1722,35077040
C,9597,35074578
P,3937,112096332
C,4707,35126670
P,2382,112493440
C,6859,35673405
P,1050,112750323
C,677,35810259
P,9789,112987467
C,7599,36137193
P,6605,113356113
C,7864,36422112
P,7548,113467126
C,1310,36627135
P,4637,113768655
C,2354,36930597
P,8374,114042766
C,6913,37112604
P,4728,114338516
C,6452,37405192
P,5143,114622651
C,2009,37900246
P,4764,115031347
C,3080,38098861
P,3146,115440927
C,2808,38965344
P,2434,116593447
C,5116,39406211
P,3704,116742970
C,4374,39604709
P,6815,117036907
C,9166,39831835
P,1468,117342817
C,3543,40081740
P,2631,118065914
C,1912,41287113
P,9114,119166765
C,9431,41821585
P,9769,119331563
C,3075,41994628
P,4535,119716643
C,6631,42276084
C,9738,36942106
P,6814,120225755
C,5696,37186051
P,6070,120333832
C,5722,37063995
P,2810,120493946
P,1867,120603190
C,9058,37463615
P,2923,120800975
C,2294,37574202
P,8513,121213215
C,5803,37894541
P,8475,121307343
C,2179,38025395
P,2065,121492101
C,4934,38138481
P,8942,121837951
C,6266,38417042
P,1908,122164915
C,2086,38896500
P,694,122441345
C,175,39162802
P,2960,122759318
C,9014,39379127
P,5964,123076366
C,3199,39784161
P,396,123292931
C,7108,40245385
P,1795,123660923
P,3753,123658346
P,5652,123658531
C,8846,40534760
P,9597,124003043
C,296,40673633
C,8598,40835172
P,1274,124063243
P,9380,124179973
C,7390,41069654
P,5284,125053220
P,6293,125079091
C,2254,41646357
C,7176,41849130
P,5931,125298096
C,7863,42038121
P,3699,125796377
C,2097,42469362
P,6002,126272852
C,8253,42959297
P,2753,126580079
C,2109,43290942
P,8594,126880654
P,9030,126875872
C,9535,43507748
P,3468,134248297
C,5330,50975932
P,3027,134366652
C,3067,51162336
P,4589,135177236
C,7884,51851881
P,375,135241925
C,4530,52267747
P,7052,135764773
C,1488,52560956
P,2723,135894189
C,1518,52736278
P,6546,136141414
C,1886,52906628
C,9871,53011920
P,5024,136528350
C,7134,53418327
P,6102,136963470
C,6822,53597761
P,1751,137194100
P,7974,137338205
C,9792,54012326
P,1850,137492446
C,436,54400879
P,2096,137870079
C,5590,54704149
P,1474,138130349
C,1596,54784176
P,1614,138205156
C,2556,54880747
P,5228,138297277
C,2384,55014840
P,8181,138417242
C,9948,55063003
P,1087,138593866
C,2283,55270151
P,3774,138785020
C,1867,55411043
P,4545,139259105
C,1318,55995014
P,4456,139465173
C,9501,56270431
P,3560,140315722
P,1493,140561439
P,8181,140625564
C,9653,57374376
P,1393,141796790
P,7069,142297468
C,6836,58985718
C,2275,59234781
P,1695,143516294
C,1037,60231384
P,7774,144330480
C,6294,61228157
P,4682,145187846
C,2437,62022885
P,5427,146161154
C,9373,62637862
P,5769,146915289
C,3818,63651023
P,3462,147394239
C,3398,64217708
P,6919,148039245
C,2790,64550617
P,1136,148476972
C,1997,65011369
P,5068,149394768
C,3273,65843524
C,5362,65869135
P,9015,149655898
C,6793,66052068
P,2063,149868760
C,2127,66260625
P,6152,149936346
C,7559,66553748
P,7376,150395090
C,1443,66962922
C,2868,66978917
P,8059,151639135
C,5722,68039238
P,332,152843916
C,2617,69281656
P,2394,153679523
C,2038,69866189
P,3873,153869881
C,7351,70534243
P,2450,155335951
P,9690,155702791
C,9689,72424198
P,1617,156483712
C,175,73199189
