role,n,time
P,4452,6120
P,444,843
P,7028,669
P,6842,535
P,517,801
P,106,657
P,321,604
P,108,737
P,161,572
P,19,111
C,7799,4991
C,2844,1045
C,4105,438
C,3117,510
P,1587,1523057
P,4345,191
P,7672,83
P,104,95
C,1890,1046
P,3729,3375709
C,2530,839
C,8419,542
C,1779,478
C,3316,373
C,153,530
P,8525,4252810
P,3113,172
C,9970,1007
C,1788,638
P,6686,5691579
P,9453,155
C,8116,1077
C,7643,696
P,5771,7489520
P,9889,164
C,7407,1117
C,7430,592
P,885,9099493
P,6051,221
P,1717,138
P,6825,105
P,803,105
C,3803,1581
C,5273,556
C,7354,988
C,2192,804
P,9782,11372587
C,6900,516
P,3307,11926624
P,4248,209
P,5596,156
P,3713,12662217
C,9162,599
C,1932,421
C,6600,382
P,4189,13684970
P,4963,173
C,9727,591
P,5287,14366106
P,3378,112
P,2135,14998999
P,4316,142
C,5042,938
C,4293,597
C,3628,689
P,6649,15988938
P,1687,139
P,4071,119
P,2197,16661930
C,6077,610
C,5678,620
C,1834,457
P,9524,17593647
P,2094,118
P,857,18174259
P,2542,94
C,9454,701
C,6971,488
C,2018,509
C,530,558
P,4632,19501857
P,6378,128
P,57,106
C,1310,494
C,9676,520
P,1585,20351868
P,1089,105
P,6385,90
P,8516,131
C,5360,1035
C,2981,516
C,825,518
C,5157,2639
P,6056,22483335
P,498,103
P,887,102
C,3714,624
P,2232,23119184
C,6193,517
P,3947,23628597
P,2171,111
P,6177,89
C,1394,615
C,2840,573
C,4100,397
C,125,439
P,1732,24743488
P,336,146
P,9113,94
C,5151,567
C,2650,446
C,4912,483
C,4713,415
P,3487,25981213
C,1751,392
P,3232,117
P,9908,116
C,7455,937
C,7308,450
C,1266,434
P,4489,27504455
P,767,104
P,4047,105
P,1656,99
P,7299,112
C,6191,988
C,5455,633
C,5913,686
P,5286,29554626
P,9273,130
C,4190,848
C,5446,400
C,3935,494
P,7921,30508364
P,8974,126
P,678,31159567
C,3374,773
C,2371,520
C,6678,1003
C,6751,374
P,681,31924175
P,8837,146
C,8248,530
P,4406,32544185
P,8975,144
P,407,175
P,3183,33399187
C,6404,655
C,6713,509
P,3310,120
P,5491,83
C,9219,516
P,3653,34435799
P,2532,134
P,3477,85
P,4736,35153553
C,4426,855
C,3221,510
C,5106,926
C,1357,525
C,5355,720
P,8737,36244272
P,456,127
P,3532,112
P,5916,118
C,883,936
C,8229,540
C,7094,436
P,6290,37186395
P,4467,126
P,5108,77
C,7200,605
C,3574,431
C,5565,450
P,6668,38180781
P,6111,162
P,2921,121
P,369,39625129
C,5742,872
C,8528,441
P,3512,40266724
C,193,587
C,1029,369
C,5388,640
P,5653,41075755
P,8082,121
P,5335,84
C,5314,573
C,5074,541
C,8801,512
P,9171,42272591
P,9929,102
C,3785,660
C,2621,669
C,3670,476
C,8945,535
P,7355,44481818
P,9930,119
C,1297,638
C,3521,342
C,8111,592
C,3702,446
P,6057,45511992
P,8546,123
