method, time
sync, 667
async, 390
sync, 539
async, 406
sync, 468
async, 473
sync, 522
async, 474
sync, 799
async, 407
sync, 458
async, 411
sync, 484
async, 402
sync, 1139
async, 374
sync, 636
async, 373
sync, 440
async, 374
sync, 464
async, 381
sync, 565
async, 408
sync, 460
async, 397
sync, 520
async, 389
sync, 455
async, 456
sync, 769
async, 406
sync, 721
async, 432
sync, 454
async, 379
sync, 448
async, 376
sync, 1110
async, 409
sync, 606
async, 410
sync, 601
async, 568
sync, 469
async, 379
sync, 614
async, 390
sync, 503
async, 399
sync, 460
async, 378
sync, 449
async, 382
sync, 636
async, 375
sync, 468
async, 378
sync, 454
async, 391
sync, 672
async, 453
sync, 597
async, 382
sync, 496
async, 385
sync, 487
async, 383
sync, 474
async, 375
sync, 562
async, 384
sync, 1164
async, 395
sync, 457
async, 398
sync, 467
async, 379
sync, 649
async, 381
sync, 459
async, 383
sync, 466
async, 442
sync, 471
async, 413
sync, 499
async, 428
sync, 1076
async, 463
sync, 1341
async, 548
sync, 855
async, 473
sync, 695
async, 474
sync, 526
async, 411
sync, 591
async, 408
sync, 525
async, 459
sync, 539
async, 403
sync, 612
async, 438
sync, 511
async, 404
sync, 572
async, 463
sync, 653
async, 513
sync, 571
async, 610
sync, 689
async, 500
sync, 1147
async, 545
sync, 1154
async, 586
sync, 1439
async, 573
sync, 629
async, 520
sync, 559
async, 410
sync, 634
async, 400
sync, 531
async, 404
sync, 518
async, 425
sync, 548
async, 460
sync, 651
async, 496
sync, 852
async, 561
sync, 796
async, 494
sync, 515
async, 415
sync, 641
async, 526
sync, 519
async, 972
sync, 516
async, 410
sync, 579
async, 534
sync, 742
async, 543
sync, 557
async, 457
sync, 694
async, 401
sync, 546
async, 475
sync, 539
async, 384
sync, 471
async, 397
sync, 1216
async, 451
sync, 599
async, 397
sync, 503
async, 410
sync, 480
async, 394
sync, 670
async, 720
sync, 1254
async, 461
sync, 680
async, 529
sync, 1097
async, 713
sync, 1643
async, 557
sync, 538
async, 443
sync, 529
async, 427
sync, 633
async, 453
sync, 596
async, 431
sync, 665
async, 455
sync, 518
async, 418
sync, 514
async, 448
sync, 1321
async, 415
sync, 632
async, 448
sync, 565
async, 715
