method,id,time
asym,3,1
asym,3,1
asym,4,1
asym,4,511
asym,2,511
asym,2,1
asym,3,63
asym,3,1
asym,0,1
asym,0,1023
asym,2,31
asym,2,1
asym,4,127
asym,4,1
asym,0,1
asym,0,15
asym,3,1
asym,3,511
asym,4,511
asym,4,1
asym,2,1023
asym,2,1
asym,3,255
asym,3,1
asym,0,1
asym,0,511
asym,2,63
asym,2,1
asym,4,127
asym,4,1
asym,0,1
asym,0,1
asym,3,255
asym,3,1
asym,2,127
asym,2,1
asym,4,1
asym,4,1
asym,3,1
asym,3,1
asym,1,4095
asym,1,511
asym,2,1
asym,2,1
asym,4,1
asym,4,255
asym,0,255
asym,0,511
asym,3,127
asym,3,1
asym,4,1
asym,4,1
asym,1,511
asym,1,1
asym,2,1
asym,2,255
asym,0,1
asym,0,1
asym,3,255
asym,3,1
asym,1,127
asym,1,1
asym,2,511
asym,2,1
asym,4,127
asym,4,1023
asym,3,1
asym,3,511
asym,2,511
asym,2,1
asym,4,1
asym,4,1
asym,3,1
asym,3,511
asym,2,511
asym,2,1
asym,4,1
asym,4,1
asym,4,1
asym,4,1
asym,3,511
asym,3,255
asym,0,127
asym,0,4095
asym,2,511
asym,2,1
asym,4,511
asym,4,1
asym,0,1
asym,0,1
asym,3,511
asym,3,1
asym,2,255
asym,2,1
asym,4,31
asym,4,1
asym,3,1
asym,3,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,4,127
asym,4,63
asym,2,511
asym,2,1
asym,0,1
asym,0,7
asym,3,1
asym,3,1
asym,4,1
asym,4,255
asym,2,1
asym,2,1
asym,3,1
asym,3,1
asym,4,1
asym,4,31
asym,2,63
asym,2,1
asym,4,1
asym,4,1
asym,3,511
asym,3,31
asym,0,1
asym,0,2047
asym,2,255
asym,2,1
asym,4,511
asym,4,1
asym,3,511
asym,3,1
asym,0,1
asym,0,1
asym,2,127
asym,2,1
asym,0,1
asym,0,1
asym,3,31
asym,3,1
asym,2,1
asym,2,1
asym,4,1023
asym,4,1
asym,3,511
asym,3,1
asym,0,1
asym,0,511
asym,4,63
asym,4,1
asym,2,255
asym,2,1
asym,0,1
asym,0,127
asym,3,511
asym,3,1
asym,2,255
asym,2,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,0,1
asym,1,16383
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
asym,1,1
conductor,4,3
conductor,4,1
conductor,1,1
conductor,1,2
conductor,3,1
conductor,3,179
conductor,0,2
conductor,0,1
conductor,2,61
conductor,2,326
conductor,4,51
conductor,4,14
conductor,1,2
conductor,1,403
conductor,3,83
conductor,3,14
conductor,0,180
conductor,0,170
conductor,3,1
conductor,3,2
conductor,1,140
conductor,1,1
conductor,4,298
conductor,4,1
conductor,2,253
conductor,2,1
conductor,1,80
conductor,1,1
conductor,3,181
conductor,3,76
conductor,0,534
conductor,0,76
conductor,2,2
conductor,2,63
conductor,4,65
conductor,4,431
conductor,3,6
conductor,3,340
conductor,2,1
conductor,2,574
conductor,1,2
conductor,1,929
conductor,0,2
conductor,0,815
conductor,4,1
conductor,4,963
conductor,3,13
conductor,3,1313
conductor,2,1
conductor,2,1483
conductor,1,15
conductor,1,1621
conductor,0,318
conductor,0,1389
conductor,4,443
conductor,4,1374
conductor,3,1
conductor,3,1171
conductor,2,2
conductor,2,1024
conductor,1,331
conductor,1,921
conductor,0,235
conductor,0,1110
conductor,4,2
conductor,4,841
conductor,3,48
conductor,3,995
conductor,2,5
conductor,2,787
conductor,1,1
conductor,1,822
conductor,0,77
conductor,0,853
conductor,4,128
conductor,4,1005
conductor,3,40
conductor,3,1223
conductor,2,2
conductor,2,1040
conductor,1,252
conductor,1,935
conductor,0,45
conductor,0,786
conductor,4,1
conductor,4,589
conductor,3,1
conductor,3,507
conductor,2,1
conductor,2,795
conductor,1,2
conductor,1,1062
conductor,0,83
conductor,0,1062
conductor,4,194
conductor,4,1562
conductor,3,72
conductor,3,1449
conductor,2,268
conductor,2,1510
conductor,1,39
conductor,1,1396
conductor,0,222
conductor,0,1202
conductor,4,350
conductor,4,1150
conductor,3,275
conductor,3,1061
conductor,2,122
conductor,2,1282
conductor,1,169
conductor,1,1202
conductor,0,1
conductor,0,1199
conductor,4,203
conductor,4,1282
conductor,3,294
conductor,3,1067
conductor,2,1
conductor,2,811
conductor,1,230
conductor,1,822
conductor,0,2
conductor,0,971
conductor,4,142
conductor,4,983
conductor,3,142
conductor,3,1291
conductor,2,93
conductor,2,1354
conductor,1,180
conductor,1,1230
conductor,0,243
conductor,0,880
conductor,4,91
conductor,4,1005
conductor,3,2
conductor,3,1025
conductor,2,2
conductor,2,1186
conductor,1,49
conductor,1,1081
conductor,0,215
conductor,0,1096
conductor,4,109
conductor,4,934
conductor,3,191
conductor,3,757
conductor,2,323
conductor,2,1031
conductor,1,66
conductor,1,1328
conductor,0,388
conductor,0,956
conductor,4,1
conductor,4,961
conductor,3,197
conductor,3,803
conductor,2,1
conductor,2,900
conductor,1,38
conductor,1,1012
conductor,0,1
conductor,0,858
conductor,4,97
conductor,4,948
conductor,3,178
conductor,3,1036
conductor,2,183
conductor,2,1295
conductor,1,1
conductor,1,1393
conductor,0,2
conductor,0,1318
conductor,4,378
conductor,4,948
conductor,3,384
conductor,3,982
conductor,2,96
conductor,2,1218
conductor,1,1
conductor,1,1417
conductor,0,313
conductor,0,1368
conductor,4,94
conductor,4,941
conductor,3,297
conductor,3,956
conductor,2,190
conductor,2,942
conductor,1,244
conductor,1,894
conductor,0,405
conductor,0,1082
conductor,2,1
conductor,2,2
conductor,4,2
conductor,4,1154
conductor,0,47
conductor,0,1
atompick,2,1
atompick,0,1
atompick,3,127
atompick,1,255
atompick,2,127
atompick,0,255
atompick,3,63
atompick,1,1
atompick,0,127
atompick,2,511
atompick,3,1
atompick,1,63
atompick,2,255
atompick,0,511
atompick,3,127
atompick,1,15
atompick,0,255
atompick,3,1
atompick,2,511
atompick,0,1
atompick,3,127
atompick,1,511
atompick,0,511
atompick,2,255
atompick,0,1
atompick,3,511
atompick,2,255
atompick,0,1
atompick,3,1
atompick,0,1
atompick,2,255
atompick,3,1
atompick,0,1
atompick,2,1
atompick,3,63
atompick,0,1
atompick,3,1
atompick,0,1
atompick,2,511
atompick,3,255
atompick,0,1
atompick,2,63
atompick,2,1
atompick,0,1
atompick,3,1023
atompick,0,1
atompick,2,1
atompick,2,1
atompick,0,1
atompick,3,511
atompick,2,511
atompick,0,1
atompick,3,127
atompick,1,8191
atompick,3,1
atompick,0,255
atompick,2,511
atompick,0,1
atompick,3,511
atompick,2,127
atompick,3,511
atompick,2,63
atompick,4,16383
atompick,3,127
atompick,4,1
atompick,2,255
atompick,3,511
atompick,1,4095
atompick,4,1
atompick,2,511
atompick,1,255
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,1,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,4,1
atompick,1,1
atompick,4,1
atompick,4,1
atompick,4,1
